Name,Name + ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Position
Chandler Brayboy,Chandler Brayboy (40058964),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0,WR
Braxton Berrios,Braxton Berrios (40058966),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,WR
Tank Dell,Tank Dell (40058968),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,WR
Josh Kelly,Josh Kelly (40058970),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,WR
Jared Wayne,Jared Wayne (40058972),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,WR
Silas Bolden,Silas Bolden (40058974),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,0,WR
Tai Felton,Tai Felton (40058730),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,WR
Myles Price,Myles Price (40058936),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,-0.5,WR
Tim Jones,Tim Jones (40058938),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,WR
Jordan Addison,Jordan Addison (40058940),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,WR
Rondale Moore,Rondale Moore (40058942),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,WR
Jeshaun Jones,Jeshaun Jones (40058944),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,WR
Lucky Jackson,Lucky Jackson (40058946),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,WR
Dontae Fleming,Dontae Fleming (40058948),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,MIN,0,WR
Charlie Jones,Charlie Jones (40058950),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,CIN,0,WR
Jermaine Burton,Jermaine Burton (40058952),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,CIN,0,WR
Jordan Moore,Jordan Moore (40058954),WR/FLEX,3000,CIN@MIN 09/21/2025 01:00PM ET,CIN,0,WR
Roman Wilson,Roman Wilson (40058920),WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0.85,WR
Scotty Miller,Scotty Miller (40058922),WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0,WR
Rakim Jarrett,Rakim Jarrett (40058924),WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0,WR
Max Hurleman,Max Hurleman (40058926),WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0,WR
Ke'Shawn Williams,Ke'Shawn Williams (40058928),WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,PIT,0,WR
Efton Chism III,Efton Chism III (40058930),WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,NE,0,WR
John Jiles,John Jiles (40058932),WR/FLEX,3000,PIT@NE 09/21/2025 01:00PM ET,NE,0,WR
