Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
hank lebioda,-1.37,0.3,0.69,0.2,-1.16,3,1.0
hank lebioda,-1.62,-0.69,-1.07,-1.7,-3.31,4,0.25
neal shipley,-1.35,-1.04,1.4,3.24,1.89,1,0.3333
neal shipley,-2.75,-0.69,1.04,3.04,0.29,2,0.6
neal shipley,-3.03,-0.96,0.72,-3.14,-6.16,3,0.4286
neal shipley,0.9,-1.51,1.27,-1.21,-0.32,4,0.4
keita nakajima,-1.06,0.62,-1.65,-0.06,-1.11,1,0.4286
keita nakajima,2.44,-1.14,0.55,-0.15,2.29,2,0.25
keita nakajima,-0.11,-0.55,-0.96,-1.05,-1.16,3,0.4
keita nakajima,-3.86,0,-2.28,-2.45,-6.32,4,0.375
patton kizzire,-0.98,0.21,-0.72,-0.13,-1.11,1,0.25
patton kizzire,-0.69,2.24,0.66,1.98,1.29,2,0.5714
patton kizzire,-0.38,-0.47,-4.54,-2.78,-3.16,3,0.2
patton kizzire,1.02,-0.24,-3.78,-5.33,-4.32,4,0.4444
cam davis,0.68,-0.95,-0.25,-1.8,-1.11,1,0.1667
cam davis,0.7,0.85,1.1,1.58,2.29,2,0.7143
cam davis,0.32,1.74,-4.52,-1.49,-1.16,3,0.6667
cam davis,-4.78,-1.49,-2.17,-5.53,-10.31,4,0.2727
emiliano grillo,1.73,-0.58,0.37,-0.84,0.89,1,0.7143
emiliano grillo,0.23,-0.32,-0.18,-1.94,-1.71,2,0.4286
emiliano grillo,0,0,0,0,0,3,0.0
emiliano grillo,0,0,0,0,0,4,0.0
thorbjorn olesen,-0.8,1.18,-0.23,-0.32,-1.11,1,0.5714
thorbjorn olesen,-0.02,0.85,-1.35,0.3,0.29,2,0.75
thorbjorn olesen,0,0,0,0,0,3,0.0
thorbjorn olesen,0,0,0,0,0,4,0.0
joel dahmen,-2.18,1.29,2.27,2.07,-0.11,1,0.75
joel dahmen,-0.19,0.65,0.27,-0.53,-0.71,2,0.25
joel dahmen,0,0,0,0,0,3,0.0
joel dahmen,0,0,0,0,0,4,0.0
adrien dumont de chassart,-2.1,0.76,2.17,2.98,0.89,1,0.3333
adrien dumont de chassart,1.23,-1.2,-3.32,-2.94,-1.71,2,0.5556
adrien dumont de chassart,0,0,0,0,0,3,0.0
adrien dumont de chassart,0,0,0,0,0,4,0.0
chris kirk,-0.29,0.69,1.04,2.17,1.89,1,0.6
chris kirk,-1.94,-1.18,-0.18,-1.77,-3.71,2,0.6667
chris kirk,0,0,0,0,0,3,0.0
chris kirk,0,0,0,0,0,4,0.0
christiaan bezuidenhout,0.92,0.88,0.11,-1.03,-0.11,1,0.5556
christiaan bezuidenhout,-1.82,-0.41,-0.23,0.1,-1.71,2,0.8333
christiaan bezuidenhout,0,0,0,0,0,3,0.0
christiaan bezuidenhout,0,0,0,0,0,4,0.0
peter malnati,-2.11,1,-0.99,0,-2.11,1,0.25
peter malnati,1.34,1.77,-1.65,-1.05,0.29,2,0.3333
peter malnati,0,0,0,0,0,3,0.0
peter malnati,0,0,0,0,0,4,0.0
mark hubbard,0.04,0.97,0.93,1.84,1.89,1,0.6
mark hubbard,-2.65,0.58,-0.24,-1.06,-3.71,2,0.5
mark hubbard,0,0,0,0,0,3,0.0
mark hubbard,0,0,0,0,0,4,0.0
vince whaley,1.59,0.59,-2.09,-2.71,-1.11,1,0.4444
vince whaley,1.37,-1.95,-0.27,-2.08,-0.71,2,0.5714
vince whaley,0,0,0,0,0,3,0.0
vince whaley,0,0,0,0,0,4,0.0
rafael campos,0.21,-0.27,0.33,0.67,0.89,1,0.8571
rafael campos,1,-0.19,-1.78,-3.72,-2.71,2,0.4286
rafael campos,0,0,0,0,0,3,0.0
rafael campos,0,0,0,0,0,4,0.0
karl vilips,2.02,-0.58,-1.23,-4.13,-2.11,1,0.6364
karl vilips,-0.91,0.76,0.24,1.2,0.29,2,0.8
karl vilips,0,0,0,0,0,3,0.0
karl vilips,0,0,0,0,0,4,0.0
brooks koepka,-3.63,-0.01,-1.21,-0.49,-4.11,1,0.2857
brooks koepka,0.27,0.35,1.04,1.01,1.29,2,0.8333
brooks koepka,0,0,0,0,0,3,0.0
brooks koepka,0,0,0,0,0,4,0.0
corey conners,-0.71,-0.47,1.13,-0.41,-1.11,1,0.6667
corey conners,-0.15,-0.42,-1.01,-1.57,-1.71,2,0.3333
corey conners,0,0,0,0,0,3,0.0
corey conners,0,0,0,0,0,4,0.0
erik van rooyen,-0.89,2.33,0.53,0.77,-0.11,1,0.6
erik van rooyen,-1.4,-0.94,-0.01,-1.31,-2.71,2,0.2
erik van rooyen,0,0,0,0,0,3,0.0
erik van rooyen,0,0,0,0,0,4,0.0
tom hoge,2.72,0.23,-0.65,-2.83,-0.11,1,0.6667
tom hoge,-0.17,-1.02,-0.06,-2.54,-2.71,2,0.6
tom hoge,0,0,0,0,0,3,0.0
tom hoge,0,0,0,0,0,4,0.0
austin eckroat,-1.17,-0.81,0.6,-1.94,-3.11,1,0.375
austin eckroat,-1.5,-0.86,0.11,1.79,0.29,2,0.5
austin eckroat,0,0,0,0,0,3,0.0
austin eckroat,0,0,0,0,0,4,0.0
garrick higgo,-2.48,-1.3,0.69,-2.63,-5.11,1,0.3333
garrick higgo,1.93,2.65,0.6,0.35,2.29,2,0.7143
garrick higgo,0,0,0,0,0,3,0.0
garrick higgo,0,0,0,0,0,4,0.0
matt mccarty,-0.62,-1.89,-1.02,-2.49,-3.11,1,0.5455
matt mccarty,3.12,-0.06,-0.53,-2.84,0.29,2,0.7143
matt mccarty,0,0,0,0,0,3,0.0
matt mccarty,0,0,0,0,0,4,0.0
dan brown,1.76,-0.36,-0.21,-3.88,-2.11,1,0.5455
dan brown,-0.14,-0.7,-0.68,-0.57,-0.71,2,0.6
dan brown,0,0,0,0,0,3,0.0
dan brown,0,0,0,0,0,4,0.0
jeffrey kang,-0.47,-0.72,-1.27,0.36,-0.11,1,0.5
jeffrey kang,-0.83,0.68,-1.49,-1.88,-2.71,2,0.5
jeffrey kang,0,0,0,0,0,3,0.0
jeffrey kang,0,0,0,0,0,4,0.0
jordan spieth,1.21,0.01,0.32,-0.33,0.89,1,0.6667
jordan spieth,-2.43,-1.27,-0.92,-2.29,-4.71,2,0.5714
jordan spieth,0,0,0,0,0,3,0.0
jordan spieth,0,0,0,0,0,4,0.0
tony finau,0.61,0.41,-1.33,-2.73,-2.11,1,0.6
tony finau,-0.11,-0.52,0.93,-1.61,-1.71,2,0.5
tony finau,0,0,0,0,0,3,0.0
tony finau,0,0,0,0,0,4,0.0
billy horschel,-3.36,1.31,-2.29,-0.75,-4.11,1,0.0
billy horschel,0.42,0.44,0.29,-0.13,0.29,2,0.5714
billy horschel,0,0,0,0,0,3,0.0
billy horschel,0,0,0,0,0,4,0.0
matthieu pavon,0.87,0.5,-0.45,-2.99,-2.11,1,0.3333
matthieu pavon,-1.05,-1,0.13,-0.66,-1.71,2,0.6
matthieu pavon,0,0,0,0,0,3,0.0
matthieu pavon,0,0,0,0,0,4,0.0
haotong li,-0.54,0.78,-0.21,0.42,-0.11,1,0.75
haotong li,-1.99,1.16,1.3,-1.72,-3.71,2,0.4286
haotong li,0,0,0,0,0,3,0.0
haotong li,0,0,0,0,0,4,0.0
charley hoffman,-2.46,0.3,1.07,0.34,-2.11,1,0.3333
charley hoffman,2.02,-1.37,-1.03,-3.73,-1.71,2,0.5
charley hoffman,0,0,0,0,0,3,0.0
charley hoffman,0,0,0,0,0,4,0.0
chandler blanchet,-1.13,-1.76,-0.55,-1.98,-3.11,1,0.4444
chandler blanchet,-0.15,0.24,-0.62,-0.56,-0.71,2,0.5714
chandler blanchet,0,0,0,0,0,3,0.0
chandler blanchet,0,0,0,0,0,4,0.0
marcelo rozo,-1.9,0.18,-1.11,-0.22,-2.11,1,0.3333
marcelo rozo,-4.76,2.34,0.6,3.05,-1.71,2,0.3333
marcelo rozo,0,0,0,0,0,3,0.0
marcelo rozo,0,0,0,0,0,4,0.0
nico echavarria,-1.46,0.54,0.94,-0.65,-2.11,1,0.5714
