Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
michael kim,-1.18,1.07,2.4,1.06,4.54,3.36,2,0.8
michael kim,-1.57,0.62,0.88,0.33,1.83,0.26,3,0.75
michael kim,-0.04,-0.27,0.03,-0.28,-0.52,-0.56,4,0.3333
keith mitchell,1.86,-0.52,-0.22,1.69,0.95,2.81,1,0.8571
keith mitchell,-2.38,-1.41,0.13,0.03,-1.25,-3.64,2,0.2857
keith mitchell,-2.85,-1.11,1.91,0.32,1.11,-1.74,3,0.2
keith mitchell,-0.89,0.45,2.81,0.08,3.33,2.44,4,0.25
ryo hisatsune,-1.33,0.99,0.45,0.69,2.14,0.81,1,0.3333
ryo hisatsune,1.83,-1.23,-0.09,0.85,-0.47,1.36,2,0.6
ryo hisatsune,-0.28,0.68,-0.46,-0.67,-0.46,-0.74,3,0.5556
ryo hisatsune,-2.6,-0.01,0.4,0.65,1.04,-1.56,4,0.5
michael thorbjornsen,1.76,0.98,-0.92,-0.02,0.05,1.81,1,0.8182
michael thorbjornsen,0.22,-0.97,2.4,-0.29,1.14,1.36,2,0.6
michael thorbjornsen,0.07,-0.13,-0.21,0.53,0.2,0.26,3,1.0
michael thorbjornsen,-1.19,0.06,-0.01,-2.42,-2.37,-3.56,4,0.625
andrew novak,0.33,-0.24,-1.74,-0.55,-2.53,-2.19,1,0.4
andrew novak,0.1,-0.06,0.52,-0.19,0.26,0.36,2,0.7143
andrew novak,-0.44,0.16,-0.36,0.9,0.7,0.26,3,1.0
andrew novak,3.14,-1.25,-0.68,-0.77,-2.7,0.44,4,0.7778
taylor pendrith,-3.82,-1.0,2.33,1.3,2.62,-1.19,1,0.5
taylor pendrith,-1.41,0.33,-0.8,1.24,0.77,-0.64,2,0.4
taylor pendrith,-4.78,0.97,3.32,0.74,5.04,0.26,3,1.0
taylor pendrith,-0.67,0.07,1.43,-0.4,1.11,0.44,4,0.4
nick taylor,-0.1,1.17,-0.26,-1.01,-0.1,-0.19,1,0.7
nick taylor,-0.04,1.56,0.54,-1.69,0.41,0.36,2,0.6667
nick taylor,-1.24,-0.36,-2.08,-0.06,-2.5,-3.74,3,0.5556
nick taylor,0.84,2.04,2.19,-2.64,1.59,2.44,4,0.8333
hideki matsuyama,0.78,1.19,-0.61,0.45,1.03,1.81,1,0.875
