Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
davis thompson,4.59,-0.73,0.55,1.17,5.76,1,0.8571
davis thompson,-2.74,-0.95,-0.15,-2.56,-5.31,2,0.4
davis thompson,-0.56,-1.21,0.85,-1.38,-1.95,3,0.7143
davis thompson,2.35,-0.01,-1.2,0.35,2.7,4,0.7143
alex smalley,1.21,0.66,1.2,2.55,3.76,1,0.6
alex smalley,0.34,0.29,0.2,2.35,2.69,2,0.6667
alex smalley,-2.54,-0.6,-2.09,-0.41,-2.95,3,0.5
alex smalley,-1.53,2.62,0.46,-0.77,-2.3,4,0.5455
isaiah salinda,-2.34,-0.84,0.79,0.1,-2.24,1,0.5
isaiah salinda,1.23,0.2,0.33,2.46,3.69,2,0.6
isaiah salinda,-1.08,1.67,-0.66,3.13,2.05,3,0.625
isaiah salinda,-0.65,-1.33,0.55,-1.65,-2.3,4,0.4
patrick fishburn,1.77,1.21,-0.05,1.99,3.76,1,0.875
patrick fishburn,1.5,-0.03,0.39,-0.81,0.69,2,0.75
patrick fishburn,-2.02,0.4,0.73,1.08,-0.95,3,0.8571
patrick fishburn,-2.43,-0.06,-0.42,0.13,-2.3,4,0.6
ricky castillo,1.87,0.74,-0.63,1.89,3.76,1,0.6667
ricky castillo,0.67,-1.5,-0.5,-1.97,-1.31,2,0.5556
ricky castillo,-0.93,1.23,0.31,-0.02,-0.95,3,0.6
ricky castillo,0.09,0.81,-0.19,-0.39,-0.3,4,0.625
takumi kanaya,-0.6,1.93,-0.71,-0.64,-1.24,1,0.5833
takumi kanaya,2.42,0.07,0.12,1.27,3.69,2,0.7143
takumi kanaya,-0.64,2.13,0.18,0.7,0.05,3,0.8
takumi kanaya,-1.39,1.29,0.13,0.09,-1.3,4,0.875
kensei hirata,2.21,1.27,-1.7,-1.45,0.76,1,0.8
kensei hirata,3.57,-1.42,0.7,-0.88,2.69,2,0.83333
kensei hirata,-0.14,1.3,-0.4,-2.81,-2.95,3,0.75
kensei hirata,1.21,-0.63,1.14,-0.51,0.7,4,0.875
david ford,-1.98,1,1.75,4.74,2.76,1,0.7143
david ford,2.25,0.09,0.33,-0.55,1.69,2,1.0
david ford,-1.94,-1.25,-1.09,-5,-6.95,3,0.4615
david ford,2.3,1.43,1.47,1.4,3.7,4,0.8889
john vanderlaan,2.22,-0.36,0.11,0.54,2.76,1,0.7143
john vanderlaan,-1.34,0.25,-1.52,-0.97,-2.31,2,0.5
john vanderlaan,1.89,-0.41,-2.52,-0.84,1.05,3,0.5714
john vanderlaan,-2.76,0.45,2.17,2.46,-0.3,4,0.0
andrew novak,-3.04,0.59,0.32,1.8,-1.24,1,0.6667
andrew novak,-1.41,1.55,1.84,3.11,1.69,2,0.8571
andrew novak,-1.73,-0.4,1.7,1.78,0.05,3,0.8333
andrew novak,-0.97,-0.83,0.44,0.67,-0.3,4,0.6667
keegan bradley,-0.54,-0.48,0.85,-0.7,-1.24,1,0.375
keegan bradley,0.78,0.64,0.6,1.92,2.69,2,0.7778
keegan bradley,-0.32,-1.39,1.01,-0.63,-0.95,3,0.5
keegan bradley,0.06,-0.1,-0.07,-0.35,-0.3,4,0.5556
mackenzie hughes,0.77,-1.64,0.97,-1.01,-0.24,1,0.625
mackenzie hughes,-1.35,1,0.88,2.05,0.69,2,1.0
mackenzie hughes,0.73,-0.83,-0.36,0.32,1.05,3,0.5714
mackenzie hughes,2.09,-1.31,-0.7,-3.39,-1.3,4,0.6667
nicolai hojgaard,2.17,0.02,-0.88,0.6,2.76,1,0.7143
nicolai hojgaard,1.43,0.68,-1.22,0.27,1.69,2,0.8571
nicolai hojgaard,-3.32,-1.43,0.41,0.37,-2.95,3,0.2
nicolai hojgaard,0.94,-0.37,0.53,-2.24,-1.3,4,0.6364
justin lower,-0.31,1.45,0.74,1.07,0.76,1,0.75
justin lower,1.53,-1.03,1.17,-0.84,0.69,2,0.8889
justin lower,-0.51,1.63,0.74,1.56,1.05,3,0.5714
justin lower,0.34,-2.43,0.52,-2.63,-2.3,4,0.375
chandler phillips,0.24,1.34,-0.93,0.53,0.76,1,0.625
chandler phillips,1.64,-0.77,1.33,1.05,2.69,2,0.5714
chandler phillips,1.88,0.76,-1.17,-2.82,-0.95,3,0.7
chandler phillips,-2.72,-1.21,1.27,0.42,-2.3,4,0.5
pierceson coody,1.33,-0.49,0.17,3.43,4.76,1,0.75
pierceson coody,-0.17,-1.3,0.99,-1.13,-1.31,2,0.6
pierceson coody,1.14,-1.66,-1.76,-4.09,-2.95,3,0.4444
pierceson coody,0.93,-0.3,0.45,-1.23,-0.3,4,0.8
rasmus neergaard-petersen,0.85,-0.41,1.4,2.91,3.76,1,0.2857
rasmus neergaard-petersen,0.39,-0.63,0.5,-1.7,-1.31,2,0.6667
rasmus neergaard-petersen,-1.74,-1.1,0.84,2.8,1.05,3,0.6667
rasmus neergaard-petersen,-0.95,-0.16,-1.11,-2.35,-3.3,4,0.375
john parry,-1.19,2.23,-0.12,0.95,-0.24,1,0.6364
john parry,-0.15,-0.78,0.85,0.85,0.69,2,0.5714
john parry,-0.26,0.12,0.13,2.31,2.05,3,0.8571
john parry,0.44,-1.75,0.17,-2.74,-2.3,4,0.7273
sam ryder,1.38,-1.88,0.58,-1.62,-0.24,1,0.2857
sam ryder,0.91,0.21,0.23,1.79,2.69,2,0.8
sam ryder,-1.43,-1.27,0.38,0.48,-0.95,3,0.2
sam ryder,-1.13,-0.84,0.96,-1.17,-2.3,4,0.5
joel dahmen,0.35,-1.5,1.24,-0.59,-0.24,1,0.625
joel dahmen,0.11,-0.12,-0.03,1.59,1.69,2,0.75
joel dahmen,-2.36,-0.2,-1.18,2.42,0.05,3,0.625
joel dahmen,0.4,-1.33,0.56,-2.7,-2.3,4,0.625
chad ramey,-0.6,0.46,1.1,1.36,0.76,1,0.6667
chad ramey,0.78,2.02,-0.55,0.92,1.69,2,0.5
chad ramey,0.55,0.13,-0.38,-1.5,-0.95,3,0.7778
chad ramey,-0.12,-0.86,-0.44,-2.18,-2.3,4,0.5
karl vilips,2.38,-0.8,-0.6,0.38,2.76,1,0.8333
karl vilips,-1.09,-0.95,-0.7,0.78,-0.31,2,0.375
karl vilips,2.15,0.39,-1.19,-3.09,-0.95,3,0.7
karl vilips,0.93,-1.61,-2.16,-3.23,-2.3,4,0.375
billy horschel,3.22,1.18,-1.2,1.54,4.76,1,0.6667
billy horschel,-0.39,-0.74,-2.09,0.08,-0.31,2,0.3333
billy horschel,-2.05,-0.14,-0.88,-1.89,-3.95,3,0.5455
billy horschel,0.46,-2.24,0.25,-2.75,-2.3,4,0.4444
kevin streelman,-1.76,-0.52,-1.27,-0.48,-2.24,1,0.4444
kevin streelman,1.65,0.89,0.78,1.04,2.69,2,0.8889
kevin streelman,-1.39,1.06,-0.18,0.44,-0.95,3,0.5714
kevin streelman,2.76,-0.33,-1.2,-4.05,-1.3,4,0.4444
vince whaley,2.65,-0.37,-0.57,0.11,2.76,1,0.75
vince whaley,0.59,0.09,-1.02,-2.9,-2.31,2,0.5556
vince whaley,-1.27,-1.42,-0.89,-2.68,-3.95,3,0.5556
vince whaley,4.65,0.02,-1.19,-2.95,1.7,4,0.7778
henrik norlander,1.33,0.47,-1.68,-2.57,-1.24,1,0.6667
henrik norlander,0.31,1.66,-0.75,3.38,3.69,2,0.6667
henrik norlander,-1.48,-0.31,0.39,-0.47,-1.95,3,0.5
henrik norlander,0.23,-1.5,-0.3,-2.53,-2.3,4,0.2857
rasmus hojgaard,2.98,-1.13,-0.39,-2.21,0.76,1,0.6667
